Period,Model,R2,MSE,MAE,AdjR2
pre,gradient_boosting,-22.97526257643125,14948.297415156945,30.108014056241746,-31.314484342146464
pre,random_forest,-26.611713928359148,12255.976754907295,26.523552309734054,-36.215788338223206
pre,svm,-0.012041628627453315,64508.60528854009,55.777114282838625,-0.3640561081500458
pre,lightgbm,-46.2217605446351,25713.404556447644,48.031697360196745,-62.64672073407341
pre,xgboost,-6.466198927164077,20329.650268554688,45.75967979431152,-9.06313768443854
post,gradient_boosting,0.48308284817020075,45179.444130169846,140.8394775756859,0.1384714136170013
post,random_forest,0.6798346372535662,32750.032181365015,122.9907587301587,0.4663910620892769
post,svm,-0.0630585652904503,135090.41212669102,289.33972698157356,-0.7717642754840839
post,lightgbm,0.7277350519829912,31700.813209303324,125.5696372556259,0.5462250866383187
post,xgboost,0.7216747581958771,30105.30068359375,125.83585815429687,0.5361245969931285
